id,name,age,salary,department,email
196,Eve,61.0,80000.0,Sales,invalid_email
521,David,29.0,65000.0,Sales,test@example.com
1133,Eve,41.0,100000.0,Marketing,test@example.com
653,David,56.0,540735.7382943144,Sales,user@mail.com
347,Eve,35.0,100000.0,Finance,invalid_email
52,Eve,21.0,110000.0,IT,invalid_email
60,David,37.0,115000.0,IT,user@mail.com
1057,Eve,40.0,90000.0,Finance,invalid_email
7,Alice,38.0,540735.7382943144,Marketing,invalid_email
576,Alice,48.0,40000.0,Finance,user@mail.com
440,David,57.0,85000.0,Finance,user@mail.com
476,Eve,42.0,95000.0,Marketing,invalid_email
597,Eve,52.0,80000.0,HR,invalid_email
778,Eve,44.699021207177815,25000.0,Finance,invalid_email
1126,David,68.0,30000.0,Finance,test@example.com
51,Eve,35.0,50000.0,IT,test@example.com
900,Alice,26.0,45000.0,IT,user@mail.com
666,Eve,58.0,45000.0,Finance,user@mail.com
595,Charlie,29.0,95000.0,Marketing,invalid_email
582,Eve,62.0,110000.0,Finance,user@mail.com
102,Alice,43.0,55000.0,HR,test@example.com
873,Alice,50.0,25000.0,Finance,invalid_email
353,Alice,53.0,90000.0,Finance,test@example.com
806,Alice,20.0,105000.0,HR,test@example.com
1016,Eve,43.0,25000.0,HR,test@example.com
409,David,63.0,55000.0,Finance,invalid_email
842,Charlie,30.0,105000.0,Sales,user@mail.com
1129,Eve,48.0,65000.0,Sales,invalid_email
1029,Alice,47.0,25000.0,Sales,invalid_email
37,Bob,33.0,110000.0,Marketing,invalid_email
55,Eve,67.0,30000.0,HR,invalid_email
935,Eve,38.0,55000.0,Finance,invalid_email
1155,Eve,61.0,65000.0,Finance,test@example.com
1127,David,20.0,55000.0,Finance,invalid_email
548,David,46.0,35000.0,Finance,test@example.com
1115,Alice,23.0,80000.0,HR,test@example.com
555,Eve,63.0,60000.0,Finance,invalid_email
205,David,20.0,105000.0,Marketing,invalid_email
160,Alice,26.0,25000.0,Sales,invalid_email
967,Eve,27.0,25000.0,IT,test@example.com
176,Eve,56.0,540735.7382943144,Sales,invalid_email
1074,Bob,56.0,85000.0,Sales,user@mail.com
142,Eve,61.0,25000.0,Sales,test@example.com
97,Bob,62.0,70000.0,HR,test@example.com
601,Alice,60.0,65000.0,Sales,user@mail.com
933,Bob,32.0,40000.0,Sales,invalid_email
705,Bob,59.0,30000.0,Sales,invalid_email
1156,Eve,22.0,90000.0,HR,test@example.com
157,Eve,31.0,115000.0,Finance,test@example.com
